flight_id,airline,source,destination,route,departure_time,arrival_time,flight_date,duration_minutes,duration_hours,overnight_flag,duration_anomaly_flag
6F194,IndiGo,BOM,CCU,BOM-CCU,2026-04-20 16:29:41.703,2026-04-20 18:27:41.703,2026-04-20,118.0,1.97,False,False
UK063,Vistara,DEL,BOM,DEL-BOM,2026-04-20 16:29:41.701,2026-04-20 17:41:41.701,2026-04-20,72.0,1.2,False,False
UK068,Vistara,BLR,MAA,BLR-MAA,2026-04-20 16:28:41.701,2026-04-20 18:09:41.701,2026-04-20,101.0,1.68,False,False
UK224,Unknown,CCU,MAA,CCU-MAA,2026-04-20 16:25:41.704,2026-04-20 20:24:41.704,2026-04-20,239.0,3.98,False,False
UK077,Unknown,HYD,BOM,HYD-BOM,2026-04-20 16:22:41.702,2026-04-20 18:00:41.702,2026-04-20,98.0,1.63,False,False
UK207,Vistara,MAA,CCU,MAA-CCU,2026-04-20 16:21:41.703,2026-04-20 17:36:41.703,2026-04-20,75.0,1.25,False,False
AI221,Air India,MAA,HYD,MAA-HYD,2026-04-20 16:18:41.703,2026-04-20 18:54:41.703,2026-04-20,156.0,2.6,False,False
UK109,Vistara,BLR,BOM,BLR-BOM,2026-04-20 16:06:41.702,2026-04-20 17:06:42.000,2026-04-20,60.00496666666666,1.0,False,False
UK089,Vistara,BOM,HYD,BOM-HYD,2026-04-20 15:38:41.702,2026-04-20 19:50:41.702,2026-04-20,252.0,4.2,False,False
AI072,Air India,BLR,CCU,BLR-CCU,2026-04-20 15:34:41.702,2026-04-20 16:32:41.702,2026-04-20,58.0,0.97,False,False
UK131,Vistara,BOM,DEL,BOM-DEL,2026-04-20 15:33:41.702,2026-04-20 19:39:41.702,2026-04-20,246.0,4.1,False,False
SJ150,SpiceJet,BOM,HYD,BOM-HYD,2026-04-20 15:33:41.702,2026-04-20 19:03:41.702,2026-04-20,210.0,3.5,False,False
6F097,IndiGo,BLR,BOM,BLR-BOM,2026-04-20 15:32:41.702,2026-04-20 16:49:41.702,2026-04-20,77.0,1.28,False,False
6F123,IndiGo,DEL,HYD,DEL-HYD,2026-04-20 15:26:41.702,2026-04-20 17:12:41.702,2026-04-20,106.0,1.77,False,False
6F017,IndiGo,CCU,BOM,CCU-BOM,2026-04-20 15:25:41.701,2026-04-20 18:06:41.701,2026-04-20,161.0,2.68,False,False
6F245,IndiGo,CCU,BOM,CCU-BOM,2026-04-20 15:25:41.701,2026-04-20 18:06:41.701,2026-04-20,161.0,2.68,False,False
6F180,IndiGo,MAA,BLR,MAA-BLR,2026-04-20 15:24:41.703,2026-04-20 19:48:41.703,2026-04-20,264.0,4.4,False,False
6F152,IndiGo,CCU,DEL,CCU-DEL,2026-04-20 15:21:41.703,2026-04-20 17:25:41.703,2026-04-20,124.0,2.07,False,False
SJ034,SpiceJet,MAA,BOM,MAA-BOM,2026-04-20 15:20:41.701,2026-04-20 20:11:41.701,2026-04-20,291.0,4.85,False,False
SJ142,SpiceJet,CCU,BOM,CCU-BOM,2026-04-20 15:14:41.702,2026-04-20 16:56:41.702,2026-04-20,102.0,1.7,False,False
UK189,Vistara,BLR,MAA,BLR-MAA,2026-04-20 15:07:41.703,2026-04-20 18:51:41.703,2026-04-20,224.0,3.73,False,False
SJ044,SpiceJet,DEL,CCU,DEL-CCU,2026-04-20 15:06:41.701,2026-04-20 17:43:41.701,2026-04-20,157.0,2.62,False,False
SJ196,SpiceJet,DEL,HYD,DEL-HYD,2026-04-20 14:58:41.703,2026-04-20 17:44:41.703,2026-04-20,166.0,2.77,False,False
6F188,IndiGo,DEL,HYD,DEL-HYD,2026-04-20 14:57:41.703,2026-04-20 19:39:41.703,2026-04-20,282.0,4.7,False,False
6F181,IndiGo,BOM,MAA,BOM-MAA,2026-04-20 14:55:41.703,2026-04-20 16:43:41.703,2026-04-20,108.0,1.8,False,False
6F077,IndiGo,CCU,DEL,CCU-DEL,2026-04-20 14:55:41.702,2026-04-20 19:13:41.702,2026-04-20,258.0,4.3,False,False
SJ154,SpiceJet,BLR,HYD,BLR-HYD,2026-04-20 14:47:41.702,2026-04-20 16:26:41.702,2026-04-20,99.0,1.65,False,False
AI025,Air India,HYD,DEL,HYD-DEL,2026-04-20 14:46:41.701,2026-04-20 17:11:41.701,2026-04-20,145.0,2.42,False,False
AI094,Air India,DEL,BLR,DEL-BLR,2026-04-20 14:44:41.702,2026-04-20 15:44:42.000,2026-04-20,60.00496666666666,1.0,False,False
6F191,IndiGo,BLR,DEL,BLR-DEL,2026-04-20 14:41:41.703,2026-04-20 15:11:41.703,2026-04-20,30.0,0.5,False,False
SJ085,SpiceJet,BLR,MAA,BLR-MAA,2026-04-20 14:41:41.702,2026-04-20 19:11:41.702,2026-04-20,270.0,4.5,False,False
6F261,Unknown,CCU,DEL,CCU-DEL,2026-04-20 14:31:41.703,2026-04-20 17:29:41.703,2026-04-20,178.0,2.97,False,False
6F129,IndiGo,DEL,CCU,DEL-CCU,2026-04-20 14:28:41.702,2026-04-20 16:47:41.702,2026-04-20,139.0,2.32,False,False
6F254,Unknown,MAA,BLR,MAA-BLR,2026-04-20 14:26:41.703,2026-04-20 18:01:41.703,2026-04-20,215.0,3.58,False,False
SJ185,SpiceJet,BOM,CCU,BOM-CCU,2026-04-20 14:21:41.703,2026-04-20 15:21:41.703,2026-04-20,60.0,1.0,False,False
6F030,IndiGo,BOM,DEL,BOM-DEL,2026-04-20 14:20:41.701,2026-04-20 17:10:41.701,2026-04-20,170.0,2.83,False,False
SJ222,SpiceJet,BOM,DEL,BOM-DEL,2026-04-20 14:15:41.703,2026-04-20 17:09:41.703,2026-04-20,174.0,2.9,False,False
6F259,Unknown,BOM,DEL,BOM-DEL,2026-04-20 14:10:41.703,2026-04-20 15:21:41.703,2026-04-20,71.0,1.18,False,False
UK083,Vistara,DEL,HYD,DEL-HYD,2026-04-20 14:10:41.702,2026-04-20 14:59:41.702,2026-04-20,49.0,0.82,False,False
6F051,IndiGo,BLR,BOM,BLR-BOM,2026-04-20 13:58:41.701,2026-04-20 15:58:41.701,2026-04-20,120.0,2.0,False,False
SJ088,SpiceJet,CCU,MAA,CCU-MAA,2026-04-20 13:54:41.702,2026-04-20 14:26:41.702,2026-04-20,32.0,0.53,False,False
6F146,IndiGo,HYD,MAA,HYD-MAA,2026-04-20 13:51:41.703,2026-04-20 15:07:41.703,2026-04-20,76.0,1.27,False,False
6F047,IndiGo,MAA,DEL,MAA-DEL,2026-04-20 13:50:41.701,2026-04-20 15:55:41.701,2026-04-20,125.0,2.08,False,False
AI077,Air India,CCU,HYD,CCU-HYD,2026-04-20 13:45:41.702,2026-04-20 14:51:41.702,2026-04-20,66.0,1.1,False,False
UK134,Vistara,HYD,CCU,HYD-CCU,2026-04-20 13:44:41.702,2026-04-20 17:26:41.702,2026-04-20,222.0,3.7,False,False
AI056,Air India,DEL,MAA,DEL-MAA,2026-04-20 13:44:41.701,2026-04-20 17:39:41.701,2026-04-20,235.0,3.92,False,False
UK141,Unknown,HYD,MAA,HYD-MAA,2026-04-20 13:38:41.703,2026-04-20 15:59:41.703,2026-04-20,141.0,2.35,False,False
AI030,Air India,CCU,HYD,CCU-HYD,2026-04-20 13:33:41.701,2026-04-20 16:52:41.701,2026-04-20,199.0,3.32,False,False
AI029,Air India,MAA,DEL,MAA-DEL,2026-04-20 13:29:41.701,2026-04-20 17:53:41.701,2026-04-20,264.0,4.4,False,False
SJ167,SpiceJet,MAA,CCU,MAA-CCU,2026-04-20 13:18:41.703,2026-04-20 14:12:41.703,2026-04-20,54.0,0.9,False,False
UK017,Vistara,BLR,HYD,BLR-HYD,2026-04-20 13:14:41.701,2026-04-20 14:49:41.701,2026-04-20,95.0,1.58,False,False
6F229,IndiGo,MAA,DEL,MAA-DEL,2026-04-20 13:10:41.704,2026-04-20 14:30:41.704,2026-04-20,80.0,1.33,False,False
SJ117,SpiceJet,MAA,BLR,MAA-BLR,2026-04-20 13:10:41.702,2026-04-20 17:06:41.702,2026-04-20,236.0,3.93,False,False
6F184,IndiGo,MAA,BOM,MAA-BOM,2026-04-20 13:05:41.703,2026-04-20 16:04:41.703,2026-04-20,179.0,2.98,False,False
AI031,Air India,DEL,MAA,DEL-MAA,2026-04-20 13:05:41.701,2026-04-20 16:11:41.701,2026-04-20,186.0,3.1,False,False
AI178,Air India,CCU,BLR,CCU-BLR,2026-04-20 13:04:41.703,2026-04-20 14:03:41.703,2026-04-20,59.0,0.98,False,False
SJ089,SpiceJet,HYD,CCU,HYD-CCU,2026-04-20 12:42:41.702,2026-04-20 17:15:41.702,2026-04-20,273.0,4.55,False,False
UK166,Vistara,HYD,MAA,HYD-MAA,2026-04-20 12:39:41.703,2026-04-20 17:32:41.703,2026-04-20,293.0,4.88,False,False
UK104,Vistara,DEL,BOM,DEL-BOM,2026-04-20 12:30:41.702,2026-04-20 13:52:41.702,2026-04-20,82.0,1.37,False,False
6F168,IndiGo,HYD,DEL,HYD-DEL,2026-04-20 12:18:41.703,2026-04-20 15:58:41.703,2026-04-20,220.0,3.67,False,False
AI222,Unknown,BOM,DEL,BOM-DEL,2026-04-20 12:10:41.703,2026-04-20 13:14:41.703,2026-04-20,64.0,1.07,False,False
SJ025,SpiceJet,BOM,CCU,BOM-CCU,2026-04-20 12:02:41.701,2026-04-20 15:29:41.701,2026-04-20,207.0,3.45,False,False
6F255,Unknown,DEL,BOM,DEL-BOM,2026-04-20 11:59:41.703,2026-04-20 15:33:41.703,2026-04-20,214.0,3.57,False,False
UK228,Vistara,DEL,MAA,DEL-MAA,2026-04-20 11:58:41.704,2026-04-20 15:08:41.704,2026-04-20,190.0,3.17,False,False
6F158,IndiGo,CCU,MAA,CCU-MAA,2026-04-20 11:58:41.703,2026-04-20 16:04:41.703,2026-04-20,246.0,4.1,False,False
SJ218,SpiceJet,DEL,HYD,DEL-HYD,2026-04-20 11:58:41.703,2026-04-20 15:03:41.703,2026-04-20,185.0,3.08,False,False
6F034,IndiGo,BOM,DEL,BOM-DEL,2026-04-20 11:53:41.701,2026-04-20 12:49:41.701,2026-04-20,56.0,0.93,False,False
UK156,Vistara,MAA,BLR,MAA-BLR,2026-04-20 11:50:41.703,2026-04-20 15:54:41.703,2026-04-20,244.0,4.07,False,False
6F105,IndiGo,BLR,BOM,BLR-BOM,2026-04-20 11:46:41.702,2026-04-20 12:58:41.702,2026-04-20,72.0,1.2,False,False
6F073,IndiGo,DEL,CCU,DEL-CCU,2026-04-20 11:38:41.702,2026-04-20 15:18:41.702,2026-04-20,220.0,3.67,False,False
SJ074,SpiceJet,DEL,CCU,DEL-CCU,2026-04-20 11:21:41.701,2026-04-20 12:02:41.701,2026-04-20,41.0,0.68,False,False
6F234,IndiGo,BOM,DEL,BOM-DEL,2026-04-20 11:20:41.704,2026-04-20 14:11:41.704,2026-04-20,171.0,2.85,False,False
6F068,IndiGo,BLR,HYD,BLR-HYD,2026-04-20 11:17:41.701,2026-04-20 15:06:41.701,2026-04-20,229.0,3.82,False,False
6F074,IndiGo,HYD,BOM,HYD-BOM,2026-04-20 11:09:41.702,2026-04-20 14:29:41.702,2026-04-20,200.0,3.33,False,False
AI038,Air India,HYD,MAA,HYD-MAA,2026-04-20 11:05:41.701,2026-04-20 15:44:41.701,2026-04-20,279.0,4.65,False,False
AI079,Air India,CCU,BLR,CCU-BLR,2026-04-20 11:04:41.702,2026-04-20 13:19:41.702,2026-04-20,135.0,2.25,False,False
SJ018,SpiceJet,BOM,CCU,BOM-CCU,2026-04-20 10:58:41.701,2026-04-20 13:31:41.701,2026-04-20,153.0,2.55,False,False
6F018,IndiGo,DEL,BLR,DEL-BLR,2026-04-20 10:57:41.701,2026-04-20 11:43:41.701,2026-04-20,46.0,0.77,False,False
AI091,Air India,CCU,MAA,CCU-MAA,2026-04-20 10:52:41.702,2026-04-20 15:15:41.702,2026-04-20,263.0,4.38,False,False
UK071,Vistara,DEL,HYD,DEL-HYD,2026-04-20 10:50:41.701,2026-04-20 14:06:41.701,2026-04-20,196.0,3.27,False,False
AI019,Air India,BOM,CCU,BOM-CCU,2026-04-20 10:49:41.701,2026-04-20 11:51:41.701,2026-04-20,62.0,1.03,False,False
UK212,Vistara,HYD,MAA,HYD-MAA,2026-04-20 10:46:41.704,2026-04-20 11:31:41.704,2026-04-20,45.0,0.75,False,False
AI146,Air India,BLR,DEL,BLR-DEL,2026-04-20 10:40:41.702,2026-04-20 13:46:41.702,2026-04-20,186.0,3.1,False,False
6F232,IndiGo,MAA,BLR,MAA-BLR,2026-04-20 10:39:41.704,2026-04-20 12:22:41.704,2026-04-20,103.0,1.72,False,False
6F084,IndiGo,CCU,HYD,CCU-HYD,2026-04-20 10:34:41.702,2026-04-20 11:34:42.000,2026-04-20,60.00496666666666,1.0,False,False
AI129,Air India,BOM,CCU,BOM-CCU,2026-04-20 10:29:41.702,2026-04-20 13:38:41.702,2026-04-20,189.0,3.15,False,False
AI240,Air India,MAA,DEL,MAA-DEL,2026-04-20 10:19:41.704,2026-04-20 12:46:41.704,2026-04-20,147.0,2.45,False,False
6F091,IndiGo,BLR,CCU,BLR-CCU,2026-04-20 10:10:41.702,2026-04-20 11:36:41.702,2026-04-20,86.0,1.43,False,False
UK133,Vistara,BOM,DEL,BOM-DEL,2026-04-20 10:04:41.702,2026-04-20 13:16:41.702,2026-04-20,192.0,3.2,False,False
SJ007,SpiceJet,BOM,CCU,BOM-CCU,2026-04-20 10:03:41.701,2026-04-20 14:53:41.701,2026-04-20,290.0,4.83,False,False
SJ141,SpiceJet,CCU,DEL,CCU-DEL,2026-04-20 10:00:41.702,2026-04-20 13:37:41.702,2026-04-20,217.0,3.62,False,False
6F049,IndiGo,HYD,DEL,HYD-DEL,2026-04-20 10:00:41.701,2026-04-20 13:13:41.701,2026-04-20,193.0,3.22,False,False
SJ235,SpiceJet,BOM,DEL,BOM-DEL,2026-04-20 09:57:41.704,2026-04-20 13:45:41.704,2026-04-20,228.0,3.8,False,False
UK087,Vistara,HYD,MAA,HYD-MAA,2026-04-20 09:49:41.702,2026-04-20 13:17:41.702,2026-04-20,208.0,3.47,False,False
UK170,Vistara,BOM,BLR,BOM-BLR,2026-04-20 09:42:41.703,2026-04-20 11:32:41.703,2026-04-20,110.0,1.83,False,False
SJ078,SpiceJet,DEL,HYD,DEL-HYD,2026-04-20 09:41:41.701,2026-04-20 12:49:41.701,2026-04-20,188.0,3.13,False,False
SJ075,SpiceJet,MAA,BLR,MAA-BLR,2026-04-20 09:26:41.701,2026-04-20 11:03:41.701,2026-04-20,97.0,1.62,False,False
AI159,Air India,HYD,BLR,HYD-BLR,2026-04-20 09:23:41.703,2026-04-20 11:36:41.703,2026-04-20,133.0,2.22,False,False
UK120,Vistara,HYD,DEL,HYD-DEL,2026-04-20 09:19:41.702,2026-04-20 13:30:41.702,2026-04-20,251.0,4.18,False,False
AI059,Air India,CCU,DEL,CCU-DEL,2026-04-20 09:16:41.701,2026-04-20 11:43:41.701,2026-04-20,147.0,2.45,False,False
